X,Y,OBJECTID,Model,Type,Bulb_Type,Wattage,Voltage,Address_Number,Street,City,Light_Fixture_Theme,DATASOURCE,Permit_Number,CartegraphID,SHAPE,Retired,Status,MacID,TEP_Account_Number,Power_Pedestal_ID
982664.114501312,431506.257545933,12982,ATBM D R3,Autobahn,LED,95,480,3501,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7923,,,Active,00F19DBD,2910005368,420
982553.626968503,431615.306102365,12983,ATBM D R3,Autobahn,LED,95,480,3470,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7924,,,Active,00F192E1,2910005368,420
982655.041010499,431696.572178476,12984,ATBM D R3,Autobahn,LED,95,480,3461,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7925,,,Active,00F19CDD,2910005368,420
982568.906496063,431783.521981627,12985,ATBM D R3,Autobahn,LED,95,480,3450,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7926,,,Active,00F19DE9,2910005368,420
982674.713254593,431857.548884511,12986,ATBM D R3,Autobahn,LED,95,480,3441,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7927,,,Active,00F17CA4,2910005368,420
982598.566272967,431970.778543308,12987,ATBM D R3,Autobahn,LED,95,480,3430,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7928,,,Active,00F1919F,2910005368,420
982712.044947505,432052.147309713,12988,ATBM D R3,Autobahn,LED,95,480,3413,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7929,,,Active,00F14173,2910005368,420
982635.848425198,432134.815288715,12989,ATBM D R3,Autobahn,LED,95,480,3410,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7930,,,Active,00F19DBE,2910005368,420
982767.576771654,432253.085301839,12990,ATBM D R3,Autobahn,LED,95,480,3371,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7931,,,Active,00F14C1B,2910005368,420
982709.912729658,432375.931102365,12991,ATBM D R3,Autobahn,LED,95,480,3340,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7932,,,Active,00F14C4F,2910005368,420
982833.475393701,432435.55675853,12992,ATBM D R3,Autobahn,LED,95,480,3311,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7933,,,Active,00F1415D,2910005368,420
982772.615157481,432533.999015749,12993,ATBM D R3,Autobahn,LED,95,480,3230,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7934,,,Active,00F14C6F,2910005368,420
983734.853674542,434419.517716534,12994,ATBM D R3,Autobahn,LED,95,480,2706,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7956,,,Active,00F1044E,2910005368,420
983854.573490813,434493.303805776,12995,ATBM D R3,Autobahn,LED,95,480,2703,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7957,,,Active,00F14C69,2910005368,420
983738.357283466,434578.243766405,12996,ATBM D R3,Autobahn,LED,95,480,2640,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7958,,,Active,00F1014D,2910004383,407
983858.38582677,434662.877952754,12997,ATBM D R3,Autobahn,LED,95,480,2621,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7959,,,Active,00F14FAD,2910004383,407
983742.170603674,434758.663385823,12998,ATBM D R3,Autobahn,LED,95,480,2602,S Mission Rd,Tucson,Other,TDOT_STREETLIGHTS,,7960,,,Active,00F10F97,2910004383,407
994673.262139108,429789.594816275,12999,ATBM D R3,Autobahn,LED,95,480,303,E Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,7998,,,Active,00F14265,3710000038,487
994453.275918636,429787.647965878,13000,ATBM D R3,Autobahn,LED,95,480,233,E Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,7999,,,Active,00F15FA6,3710000038,487
994233.595800526,429786.068897635,13001,ATBM D R3,Autobahn,LED,95,480,209,E Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8000,,,Active,00F14CDD,3710000038,487
994022.604658794,429781.657808401,13002,ATBM D R3,Autobahn,LED,95,480,125,E Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8001,,,Active,00F14F9C,3710000038,487
993798.263451442,429778.807414696,13003,ATBM D R3,Autobahn,LED,95,480,101,E Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8002,,,Active,00F1422E,3710000038,487
993588.233267717,429774.185039371,13004,ATBM D R3,Autobahn,LED,95,480,33,E Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8003,,,Active,00F15E01,3710000038,487
993242.109580051,429759.855314963,13005,ATBM D R3,Autobahn,LED,95,480,18,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8004,,,Active,00F15E0D,3310003924,480
993049.988845143,429755.979986876,13006,ATBM D R3,Autobahn,LED,95,480,32,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8005,,,Active,00F14FF2,3310003924,480
992811.018372703,429752.34547244,13007,ATBM D R3,Autobahn,LED,95,480,120,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8006,,,Active,00F14EB7,3310003924,480
992576.673884515,429750.492125981,13008,ATBM D R3,Autobahn,LED,95,480,138,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8007,,,Active,00F15FB4,3310003924,480
992408.632545933,429745.970144354,13009,ATBM D R3 MVOLT,Autobahn,LED,95,120,168,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8008,,,Active,00F0F6C1,3710001089,506
992203.18175853,429744.896981627,13010,ATBM D R3,Autobahn,LED,95,480,228,W Ajo Wy,Tucson,Small-Cell Pole,TDOT_STREETLIGHTS,T19RW03653,8009,,,Active,00F15DDD,3310003924,480
991998.649606299,429744.920931756,13011,ATBM D R3,Autobahn,LED,95,480,302,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8010,,,Active,00F15FC4,3310003924,480
991767.55347769,429739.620078743,13012,,,,,,330,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8011,,,Inactive,,,
991557.771325458,429738.50918635,13013,ATBM D R3,Autobahn,LED,95,480,390,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8012,,,Active,00F16040,3310003924,480
991356.352362204,429736.381561682,13014,ATBM D R3,Autobahn,LED,95,480,401,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8013,,,Active,00F15DFA,3310003924,480
991122.130577426,429734.695866145,13015,ATBM D R3,Autobahn,LED,95,480,438,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8014,,,Active,00F15DEA,3310003924,480
990950.289698161,429732.953412071,13016,ATBM D R3,Autobahn,LED,95,480,502,W Ajo Wy,Tucson,Other,TDOT_STREETLIGHTS,,8015,,,Active,00F11232,3310003924,480
992373.93405512,431888.655839898,13017,ATBS E R2,Autobahn,LED,40,240,3441,S 9th Av,Tucson,Other,TDOT_STREETLIGHTS,,8054,,,Active,00F15499,3310001921,476
992374.758530185,431696.210301839,13018,ATBS E R2,Autobahn,LED,40,240,3467,S 9th Av,Tucson,Other,TDOT_STREETLIGHTS,,8055,,,Active,00F15492,3310001921,476
992376.414370079,431476.044619426,13019,ATBS E R2,Autobahn,LED,40,240,3519,S 9th Av,Tucson,Other,TDOT_STREETLIGHTS,,8056,,,Active,00F15316,3310001921,476
992378.54593176,431268.682742782,13020,ATBS E R2,Autobahn,LED,40,240,3549,S 9th Av,Tucson,Other,TDOT_STREETLIGHTS,,8057,,,Active,00F150E5,3310001921,476
992384.604658794,430825.596456692,13021,ATBS E R2,Autobahn,LED,40,240,3625,S 9th Av,Tucson,Other,TDOT_STREETLIGHTS,,8058,,,Active,00F1547F,3310001921,476
992385.741141733,430590.57513123,13022,ATBS E R2,Autobahn,LED,40,240,3637,S 9th Av,Tucson,Other,TDOT_STREETLIGHTS,,8059,,,Active,00F1533C,3310001921,476
990897.6085958,431030.496719159,13023,ATBS H R2,Autobahn,LED,60,240,512,W Veterans Bl,Tucson,Other,TDOT_STREETLIGHTS,,8081,,,Active,00F154D6,3310001921,476
990751.729002625,430976.238188975,13024,ATBS H R2,Autobahn,LED,60,240,525,W Veterans Bl,Tucson,Other,TDOT_STREETLIGHTS,,8082,,,Active,00F151E4,3310001921,476
990755.839238845,430778.487860896,13025,ATBS E R2,Autobahn,LED,40,240,3625,S Bronson Av,Tucson,Other,TDOT_STREETLIGHTS,,8083,,,Active,00F1566D,3310001921,476
990758.16371391,430558.488517061,13026,ATBS E R2,Autobahn,LED,40,240,3655,S Bronson Av,Tucson,Other,TDOT_STREETLIGHTS,,8084,,,Active,00F15520,3310001921,476
990513.978674542,431858.209317587,13027,ATBM D R3,Autobahn,LED,95,480,3501,S 12th Av,Tucson,Other,TDOT_STREETLIGHTS,,8085,,,Inactive,,3310003369,478
990565.969160106,431910.238845147,13028,ATBM D R3,Autobahn,LED,95,480,3455,S 12th Av,Tucson,Other,TDOT_STREETLIGHTS,,8086,,,Active,00F0A525,3310003369,478
990576.64895013,432157.649934381,13029,ATBM D R3,Autobahn,LED,95,480,3415,S 12th Av,Tucson,Other,TDOT_STREETLIGHTS,,8087,,,Active,00F097B0,3310003369,478
990634.642716534,432269.701443568,13030,ATBM D R3,Autobahn,LED,95,480,3408,S 10th Av,Tucson,Other,TDOT_STREETLIGHTS,,8088,,,Active,00F17D07,3310003369,478
990895.015091863,432325.295275591,13031,ATBM D R3,Autobahn,LED,95,480,511,W 44th St,Tucson,Other,TDOT_STREETLIGHTS,,8089,,,Active,00F07224,3310003369,478
991073.423228346,432296.326771654,13032,ATBS H R2,Autobahn,LED,60,240,443,W 44th St,Tucson,Other,TDOT_STREETLIGHTS,,8090,,,Active,00F1539E,3310001921,476
991528.183070865,432314.206036747,13033,ATBS H R2,Autobahn,LED,60,240,355,W 44th St,Tucson,Other,TDOT_STREETLIGHTS,,8092,,,Active,00F15534,3310001921,476
993431.545603674,431998.326443568,13034,ATBM A R3,Autobahn,LED,60,480,3421,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8131,,,Active,00F14B3E,3310004153,482
993434.524606299,431871.013451442,13035,ATBM A R3,Autobahn,LED,60,480,3461,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8132,,,Active,00F15DAA,3310004153,482
993435.786745407,431762.968503937,13036,ATBM A R3,Autobahn,LED,60,480,3471,S 6th Av,Tucson,Other,TDOT_STREETLIGHTS,,8133,,,Active,00F15E23,3310004153,482
